state          dE(eV)       f        Om       POS        PR        CT       COH      CTnt     PRNTO      Z_HE
--------------------------------------------------------------------------------------------------------------
1X          2.128735  0.502603  0.967237  1.484508  1.984465  0.489214  1.983573  0.083033         -  1.216289
2X          2.642476  0.000002  0.994379  1.256234  1.566677  0.453368  1.467236 -0.357807         -  1.281451
3X          3.109426  0.000001  0.994961  1.267561  1.521631  0.525949  1.370659  0.491407         -  1.316101
4X          4.126394  0.000003  0.971043  1.622005  1.681047  0.459585  1.642052  0.402162         -  1.760052
5X          4.289322  0.000013  0.998455  1.114385  1.255825  0.115325  1.141395  0.067422         -  1.870253
6X          4.779828  0.000565  0.995164  1.271646  1.494579  0.541655  1.332912  0.540270         -  1.004836
7X          4.849631  0.001008  0.992681  1.007513  1.015141  0.014915  1.015138  0.001745         -  2.003027
8X          5.075010  0.000003  0.989235  1.901015  1.224336  0.192291  1.209753 -0.132992         -  1.907999
9X          5.582415  0.000018  0.983388  1.774110  1.497586  0.442606  1.347709 -0.428713         -  1.586662
10X         5.830533  0.000699  0.992830  1.770229  1.494391  0.458330  1.332580 -0.456895         -  1.007170
