state         dE(eV)      f       Om      POS       PR       CT      COH    PRNTO    RMSeh
-------------------------------------------------------------------------------------------
1SingA2     3.58340  0.00000  1.00049  1.50000  2.00000  0.69807  1.72873  1.08628  3.12440
2SingB1     3.63480  0.00000  1.00044  1.50000  2.00000  0.73703  1.63302  1.12817  3.20153
3SingB1     4.24200  0.00000  1.00102  1.50000  2.00000  0.26245  1.63168  1.12895  2.10521
4SingA2     4.28430  0.00000  1.00089  1.50000  2.00000  0.30140  1.72747  1.08690  2.21806
5SingB2     7.79330  0.01130  1.00119  1.50000  2.00000  0.95775  1.08807  1.80358  3.53539
6SingA1     7.85130  0.00060  1.00005  1.50000  2.00000  0.99241  1.01529  1.98396  3.59330
7SingA2     7.93840  0.00000  1.00032  1.50000  2.00000  0.73578  1.63617  1.12969  3.51349
8SingB1     8.00980  0.04660  1.00030  1.50000  2.00000  0.82591  1.40364  1.27743  3.66607
9SingB2     8.45970  0.00020  1.00031  1.50000  2.00000  0.85169  1.33801  1.34025  3.36649
10SingA1    8.48780  0.00000  1.00027  1.50000  2.00000  0.87873  1.27085  1.41144  3.41548
