state         dE(eV)      f       Om      POS       PR       CT      COH    PRNTO    RMSeh
-------------------------------------------------------------------------------------------
1(1)A       3.58700  0.00000  1.00000  1.50000  2.00000  0.70716  1.70698  1.09526  3.14214
2(1)A       3.63646  0.00001  1.00000  1.50000  2.00000  0.74680  1.60817  1.14052  3.22004
3(1)A       4.25702  0.00004  1.00000  1.50000  2.00000  0.25330  1.60844  1.14061  2.07816
4(1)A       4.29721  0.00000  1.00000  1.50000  2.00000  0.29297  1.70729  1.09533  2.19442
5(1)A       7.82039  0.01186  1.00000  1.50000  2.00000  0.97147  1.05868  1.90286  3.55925
6(1)A       7.85322  0.00054  1.00000  1.50000  2.00000  0.99332  1.01346  1.99106  3.59483
7(1)A       7.94393  0.00000  1.00001  1.50000  2.00000  0.76107  1.57155  1.16364  3.55750
8(1)A       8.01113  0.04585  1.00001  1.50000  2.00000  0.85103  1.33968  1.33672  3.70762
9(1)A       8.45775  0.00031  1.00000  1.50000  2.00000  0.87284  1.28531  1.39809  3.40431
10(1)A      8.48372  0.00003  1.00000  1.50000  2.00000  0.89780  1.22476  1.47391  3.44907
