state         dE(eV)      f       Om      POS       PR       CT      COH    PRNTO    RMSeh
-------------------------------------------------------------------------------------------
1Singlet    3.58491  0.00000  0.99994  1.50000  2.00000  0.70505  1.71206  1.09288  3.13779
2Singlet    3.63428  0.00001  0.99996  1.50000  2.00000  0.74401  1.61529  1.13682  3.21460
3Singlet    4.25535  0.00004  0.99988  1.50000  2.00000  0.25605  1.61544  1.13674  2.08620
4Singlet    4.29588  0.00000  0.99988  1.50000  2.00000  0.29502  1.71223  1.09281  2.19997
5Singlet    7.81796  0.01188  0.99224  1.50000  2.00000  0.97615  1.04884  1.87726  3.56536
6Singlet    7.85074  0.00054  0.99822  1.50000  2.00000  0.99113  1.01790  1.98876  3.59101
7Singlet    7.94341  0.00000  0.99810  1.50000  2.00000  0.76016  1.57389  1.15759  3.55082
8Singlet    8.01114  0.04634  0.99818  1.50000  2.00000  0.85092  1.33997  1.32922  3.70355
9Singlet    8.46097  0.00029  0.99348  1.50000  2.00000  0.87377  1.28303  1.40148  3.40570
10Singlet   8.48690  0.00003  0.99470  1.50000  2.00000  0.89456  1.23251  1.46891  3.44298
