state         dE(eV)      f       Om      POS       PR       CT      COH    PRNTO    RMSeh
-------------------------------------------------------------------------------------------
A1          3.58924  0.00000  0.99994  1.50048  2.00000  0.70904  1.70243  1.09686  3.14580
A2          3.63991  0.00000  0.99996  1.49952  2.00000  0.74905  1.60243  1.14331  3.22445
A3          4.25556  0.00000  0.99988  1.50048  2.00000  0.25101  1.60257  1.14324  2.07161
A4          4.29644  0.00000  0.99988  1.49952  2.00000  0.29103  1.70260  1.09679  2.18914
A5          7.81926  0.01170  0.99885  1.50001  2.00000  0.97354  1.05431  1.89964  3.56266
A6          7.85294  0.00050  0.99989  1.50000  2.00000  0.99354  1.01300  1.99106  3.59525
A7          7.94845  0.00000  0.99928  1.50047  2.00000  0.75872  1.57760  1.15746  3.55251
A8          8.01862  0.04710  0.99941  1.49962  2.00000  0.84844  1.34622  1.32682  3.70266
A9          8.47145  0.00030  0.99971  1.50060  1.99999  0.87345  1.28382  1.39797  3.40582
A10         8.67924  0.00000  0.99913  1.49953  2.00000  0.24312  1.58234  1.16327  2.52424
