state         dE(eV)      f       Om      POS       PR       CT      COH    PRNTO     Z_HE     S_HE    RMSeh
-------------------------------------------------------------------------------------------------------------
A1          3.58924  0.00000  0.99994  2.50074  3.57911  0.86919  3.03511  1.09686  1.20625  0.27053  3.14580
A2          3.63991  0.00000  0.99996  2.49922  3.58339  0.88675  2.85802  1.14331  1.27933  0.35539  3.22445
A3          4.25556  0.00000  0.99988  2.50077  3.53538  0.67126  2.83709  1.14324  1.27929  0.35535  2.07161
A4          4.29644  0.00000  0.99988  2.49925  3.53953  0.68875  3.01479  1.09679  1.20618  0.27045  2.18914
A5          7.81926  0.01170  0.99885  2.50002  3.74712  0.98837  1.97967  1.89964  2.00355  1.00256  3.56266
A6          7.85294  0.00050  0.99989  2.49999  3.75522  0.99695  1.90038  1.99106  2.00336  1.00242  3.59525
A7          7.94845  0.00000  0.99928  2.50075  2.68296  0.94109  2.00797  1.15746  1.30070  0.37929  3.55251
A8          8.01862  0.04710  0.99941  2.49942  2.69277  0.96406  1.71626  1.32682  1.51020  0.59474  3.70266
A9          8.47145  0.00030  0.99971  2.50088  3.45855  0.94269  2.18316  1.39797  1.58251  0.66221  3.40582
A10         8.67924  0.00000  0.99913  2.49925  2.61380  0.81865  1.93297  1.16327  1.32183  0.40253  2.52424
