state          dE(eV)       f        Om       POS        PR        CT       COH      CTnt     PRNTO      Z_HE     RMSeh
------------------------------------------------------------------------------------------------------------------------
1(3)a       4.227950  0.000000  0.953477  1.049442  1.104406  0.093687  1.101832  0.036998  1.748804  1.995786  2.204699
2(3)a       4.604110  0.000000  0.954792  1.065061  1.139727  0.123428  1.137331  0.051126  1.098613  1.252909  2.478400
1(1)a       4.969480  0.029260  0.953389  1.063332  1.136278  0.120432  1.132344  0.059614  1.516218  1.724443  2.432792
3(3)a       5.013410  0.000000  0.957706  1.048398  1.103253  0.093470  1.098657  0.061028  1.813232  1.925164  2.318971
4(3)a       5.230190  0.000000  0.918605  1.961263  1.081840  0.072802  1.075539 -0.053022  1.025670  1.163824  1.988326
2(1)a       5.542490  0.003497  0.920147  1.957041  1.091383  0.080822  1.083925 -0.060684  1.027899  1.168043  2.022467
3(1)a       6.203780  0.192846  0.952047  1.068349  1.148648  0.130232  1.142056  0.076510  1.318000  1.556214  2.733767
5(3)a       6.213230  0.000000  0.958739  1.054190  1.118138  0.106733  1.109225  0.090834  1.175864  1.364719  2.352624
6(3)a       6.303070  0.000000  0.938120  1.968843  1.064349  0.052392  1.055570 -0.014099  1.023983  1.136995  1.810819
4(1)a       7.176920  0.498485  0.950765  1.132132  1.298325  0.217754  1.280747  0.046236  1.810364  2.086366  2.875152
5(1)a       7.214030  0.543432  0.952557  1.066224  1.142762  0.121292  1.134260  0.059154  1.381165  1.644314  2.527301
